City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,haines junction,60.7522,-137.5108,-3.56,96,100,1.33,CA,1674518746
147,chuy,-33.6971,-53.4616,19.44,68,0,3.62,UY,1674518746
148,wanparti,16.3667,78.0667,18.0,80,31,2.03,IN,1674518747
149,havelock,34.8791,-76.9013,9.99,62,21,2.24,US,1674518747
150,half moon bay,37.4636,-122.4286,15.99,46,0,5.66,US,1674518552
151,maragogi,-9.0122,-35.2225,25.98,79,21,3.86,BR,1674518748
152,cabo san lucas,22.8909,-109.9124,24.78,62,39,4.47,MX,1674518481
153,chara,56.9064,118.2631,-35.68,86,78,0.22,RU,1674518748
154,vanimo,-2.6741,141.3028,24.75,91,100,0.07,PG,1674518749
155,bolgar,54.95,49.0667,-16.45,96,16,1.89,RU,1674518749
156,guerrero negro,27.9769,-114.0611,15.73,43,70,3.97,MX,1674518750
157,lata,40.1629,-8.3327,4.4,62,1,2.11,PT,1674518750
158,ribeira grande,38.5167,-28.7,16.54,76,94,10.28,PT,1674518750
159,chanika,-5.4167,38.0167,19.82,98,100,1.18,TZ,1674518751
160,pisco,-13.7,-76.2167,23.03,78,40,9.26,PE,1674518751
161,dongsheng,39.8161,109.9776,-22.54,55,0,2.56,CN,1674518752
162,esperance,-33.8667,121.9,21.98,50,0,3.43,AU,1674518752
163,te anau,-45.4167,167.7167,15.99,54,15,1.36,NZ,1674518519
164,bonavista,48.6499,-53.1147,1.14,91,100,8.51,CA,1674518753
165,shakawe,-18.3667,21.85,19.93,89,70,1.5,BW,1674518753
166,imbituba,-28.24,-48.6703,23.27,90,39,1.03,BR,1674518621
167,guaymas,27.9333,-110.9,15.81,28,31,7.36,MX,1674518562
168,nizwa,22.9333,57.5333,14.08,75,88,1.3,OM,1674518754
169,ponta do sol,32.6667,-17.1,16.67,66,7,3.64,PT,1674518755
170,biu,10.6129,12.1946,21.29,21,37,2.66,NG,1674518755
171,kahului,20.8947,-156.47,27.13,79,21,1.34,US,1674518486
172,imamoglu,37.2651,35.6572,7.84,53,0,1.77,TR,1674518756
173,kristiansund,63.1115,7.732,8.36,81,100,6.69,NO,1674518756
174,balkhash,46.844,74.9804,-15.84,87,91,1.27,KZ,1674518756
175,weatherford,32.7593,-97.7972,10.13,45,5,0.89,US,1674518757
176,zhigansk,66.7697,123.3711,-41.34,97,100,2.83,RU,1674518757
177,hermanus,-34.4187,19.2345,19.33,80,0,5.42,ZA,1674518758
178,shitanjing,39.2342,106.3439,-20.85,63,0,3.75,CN,1674518758
179,arbazh,57.6804,48.3065,-18.32,100,100,1.51,RU,1674518759
180,tual,-5.6667,132.75,28.06,76,100,6.0,ID,1674518759
181,seymchan,62.8833,152.4333,-32.63,97,100,0.62,RU,1674518759
182,egvekinot,66.3167,-179.1667,-26.24,81,14,5.67,RU,1674518760
183,griffith,41.5284,-87.4237,-0.39,81,0,5.14,US,1674518760
184,cibakhaza,46.9598,20.1975,6.18,91,75,1.03,HU,1674518761
185,port alfred,-33.5906,26.891,24.54,81,33,2.68,ZA,1674518761
